Suprafață utilă,Numărul de camere,Încălzire,Etaj,Chirie,Stare,Tip proprietate,Forma de proprietate,Liber de la,Tip vânzător,Informații suplimentare,Anul construcției,Lift,Facilități,Siguranță,url,Material de construcție,Tip geamuri,Media,Tip clădire,Suprafata_utila_m2
52 m²,3,fără informații,5,fără informații,fără informații,locuință utilizată,drept de proprietate,2025-11-27,agenție,balcon,,nu,,,https://www.storia.ro/ro/oferta/apartament-modern-cu-2-dormitoare-i-living-open-space-piaa-unirii-IDFBU8.html,,,telefon internet cablu tv,ansamblu de apartamente,52
66.18 m²,3,centralizată,parter,fără informații,fără informații,locuință utilizată,fără informații,fără informații,agenție,balcon,1975,nu,,uși / ferestre blindate,https://www.storia.ro/ro/oferta/apartament-cu-3-camere-de-vnzare-n-zona-est-roman-IDEDHu.html,,,,,66
71.3 m²,3,centrală pe gaz,parter/5,fără informații,gata de utilizare,locuință nouă,drept de proprietate,2025-11-27,agenție,terasă grădină,2024,da,aer condiționat,,https://www.storia.ro/ro/oferta/apartament-3-camere-cu-gradina-in-zona-gara-de-nord-IDFDHM.html,,,telefon internet cablu tv,ansamblu de apartamente,71
35 m²,1,centrală pe gaz,1/4,fără informații,în construcție,locuință nouă,drept de proprietate,2025-11-27,agenție,balcon,2026,da,,interfon supraveghere video uși / ferestre blindate,https://www.storia.ro/ro/oferta/garsoniera-militari-residence-finalizare-aprilie-2026-IDFIJ8.html,beton,plastic,internet,,35
55 m²,2,fără informații,6/7,fără informații,gata de utilizare,locuință utilizată,drept de proprietate,2025-11-14,agenție,balcon,1975,nu,cuptor plită frigider mașină de spălat,,https://www.storia.ro/ro/oferta/cu-vedere-la-palat-2-camere-0-comision-IDFAP8.html,placa de beton,,telefon internet cablu tv,ansamblu de apartamente,55
47.2 m²,2,centrală pe gaz,2/5,fără informații,în construcție,locuință nouă,drept de proprietate,fără informații,agenție,balcon bucătărie separată,2026,da,,uși / ferestre blindate,https://www.storia.ro/ro/oferta/apartament-nou-in-sectorul-4-2-camere-finisaje-moderne-comision-0-IDEMGs.html,beton,plastic,internet,ansamblu de apartamente,47
50 m²,2,centrală pe gaz,2/7,fără informații,gata de utilizare,locuință utilizată,drept de proprietate,2025-11-26,agenție,fără informații,2007,nu,mobilier frigider mașină de spălat,uși / ferestre blindate,https://www.storia.ro/ro/oferta/0-comision-2-camere-etaj-2-strada-jupiter-zona-baciu-IDFwY8.html,cărămidă,plastic,telefon internet cablu tv,ansamblu de apartamente,50
54 m²,2,centrală pe gaz,1/5,fără informații,gata de utilizare,locuință nouă,drept de proprietate,2025-11-27,agenție,balcon bucătărie separată,2025,nu,aer condiționat,interfon,https://www.storia.ro/ro/oferta/comision-0-apartamente-deosebite-cu-2-camere-aradului-IDEljK.html,cărămidă,,telefon cablu tv,ansamblu de apartamente,54
56.24 m²,3,centralizată,3/4,fără informații,gata de utilizare,locuință nouă,fără informații,fără informații,agenție,balcon,1986,nu,,,https://www.storia.ro/ro/oferta/apartament-de-3-camere-campulung-zona-visoi-IDEB9s.html,,,,,56
38.55 m²,1,centrală pe gaz,8/8,fără informații,în construcție,locuință nouă,drept de proprietate,fără informații,agenție,balcon bucătărie separată,2025,da,,interfon uși / ferestre blindate,https://www.storia.ro/ro/oferta/garsoniera-43-52-mp-langa-parcul-tudor-arghezi-sector-4-comision-0-IDEVD2.html,beton,plastic,telefon internet,,39
52 m²,2,centralizată,1/2,fără informații,gata de utilizare,locuință nouă,fără informații,fără informații,agenție,balcon,2008,nu,,,https://www.storia.ro/ro/oferta/apartament-2-camere-decomandat-bloc-nou-etaj-1-colinei-manastur-IDFoig.html,,,,,52
57 m²,2,centrală pe gaz,4/4,fără informații,gata de utilizare,locuință utilizată,drept de proprietate,2025-11-27,agenție,balcon bucătărie separată,1985,nu,mobilier cuptor plită frigider mașină de spălat TV aer condiționat,interfon uși / ferestre blindate,https://www.storia.ro/ro/oferta/apartament-decomandat-2-camere-zona-timocului-IDEDSS.html,beton,plastic,telefon internet cablu tv,ansamblu de apartamente,57
36 m²,2,fără informații,1/10,fără informații,în construcție,locuință nouă,drept de proprietate,2025-11-19,agenție,balcon,2024,nu,,,https://www.storia.ro/ro/oferta/apartamente-noi-2-camere-shopping-city-mall-tudor-skyline-city-IDFpNj.html,,,telefon internet cablu tv,ansamblu de apartamente,36
45 m²,1,centralizată,3/8,fără informații,în construcție,locuință nouă,drept de proprietate,fără informații,agenție,balcon,,da,,uși / ferestre blindate interfon,https://www.storia.ro/ro/oferta/apartamente-1-camera-str-eroilor-IDBYzF.html,cărămidă,,internet,bloc,45
35.3 m²,1,centralizată,4/4,fără informații,fără informații,locuință nouă,fără informații,fără informații,agenție,balcon,1990,nu,,,https://www.storia.ro/ro/oferta/apartament-1-camera-renovat-2024-buzaului-la-b-uri-bloc-mixt-IDB5s5.html,,,,,35
32 m²,1,centrală pe gaz,6/7,fără informații,în construcție,locuință nouă,fără informații,fără informații,agenție,fără informații,2025,nu,,,https://www.storia.ro/ro/oferta/apartament-1-camera-garsoniera-direct-dezvoltator-IDD2SL.html,cărămidă,plastic,,bloc,32
60 m²,2,fără informații,1/3,fără informații,gata de utilizare,locuință nouă,fără informații,fără informații,agenție,balcon,2025,nu,,,https://www.storia.ro/ro/oferta/apartament-2-camere-bloc-2025-cavalerului-residence-stefanesti-IDDyn8.html,,,,,60
37 m²,2,centrală pe gaz,parter/2,fără informații,de renovat,locuință utilizată,drept de proprietate,2025-10-28,agenție,fără informații,1936,nu,cuptor plită mașină de spălat aer condiționat,uși / ferestre blindate,https://www.storia.ro/ro/oferta/linite-i-intimitate-n-inima-cartierului-kiseleff-IDFpO1.html,beton,plastic,telefon internet cablu tv,ansamblu de apartamente,37
77.56 m²,4,centralizată,4,fără informații,fără informații,locuință utilizată,fără informații,fără informații,agenție,balcon,1985,nu,aer condiționat,uși / ferestre blindate,https://www.storia.ro/ro/oferta/apartament-de-vanzare-4-camere-decomandat-bistrita-lac-IDDqj7.html,,,,,78
50.97 m²,1,centrală pe gaz,2/10,fără informații,în construcție,locuință nouă,drept de proprietate,2026-11-30,dezvoltator,balcon terasă garaj,2026,da,,uși / ferestre blindate interfon supraveghere video,https://www.storia.ro/ro/oferta/alege-sa-trieti-cu-stil-garsoniera-50mp-locatie-premium-zona-coresi-IDDibt.html,beton armat,plastic,cablu tv internet telefon,ansamblu de apartamente,51
55 m²,2,centrală pe gaz,3/4,fără informații,gata de utilizare,locuință utilizată,drept de proprietate,2025-11-26,agenție,balcon,1989,nu,,uși / ferestre blindate interfon,https://www.storia.ro/ro/oferta/apartament-decomandat-55-mp-etaj-3-2-locuri-de-parcare-beci-zona-IDFGiB.html,beton,plastic,internet,ansamblu de apartamente,55
37 m²,2,centrală pe gaz,1/4,fără informații,de renovat,locuință utilizată,drept de proprietate,2025-10-21,agenție,fără informații,,da,,interfon,https://www.storia.ro/ro/oferta/apartament-de-2-camere-finisat-37-mp-utili-in-zona-tineretului-IDET7W.html,cărămidă,plastic,,ansamblu de apartamente,37
77.5 m²,3,centrală pe gaz,2/4,fără informații,de renovat,locuință utilizată,drept de proprietate,2025-11-24,agenție,balcon,,nu,,interfon,https://www.storia.ro/ro/oferta/apartament-3-camere-77-mp-etaj-intermediar-zona-obcini-IDFyzD.html,cărămidă,plastic,,ansamblu de apartamente,78
57 m²,2,centrală pe gaz,3/6,fără informații,în construcție,locuință nouă,drept de proprietate,fără informații,agenție,balcon bucătărie separată,2025,da,,uși / ferestre blindate interfon,https://www.storia.ro/ro/oferta/direct-dezvoltator-ap-2-camere-57-mp-comision-zero-IDApwA.html,cărămidă,aluminiu,cablu tv internet,bloc,57
50.97 m²,1,centrală pe gaz,1/10,fără informații,în construcție,locuință nouă,drept de proprietate,2026-11-30,dezvoltator,balcon terasă garaj bucătărie separată,2026,da,,uși / ferestre blindate interfon supraveghere video,https://www.storia.ro/ro/oferta/fiecare-detaliu-conteaz-garsoniera-50-9mp-locatie-premium-zona-coresi-IDDib2.html,beton armat,plastic,cablu tv internet telefon,ansamblu de apartamente,51
90 m²,4,centralizată,8,fără informații,gata de utilizare,locuință utilizată,drept de proprietate,2025-11-27,agenție,bucătărie separată,1981,da,aer condiționat,uși / ferestre blindate,https://www.storia.ro/ro/oferta/berceni-sun-plaza-4-camere-nemobilat-renovat-IDELUk.html,beton,plastic,,ansamblu de apartamente,90
46 m²,2,centrală pe gaz,2/3,fără informații,gata de utilizare,locuință nouă,drept de proprietate,fără informații,agenție,balcon bucătărie separată,2014,nu,mobilier mașină de spălat mașină de spălat vasele frigider plită cuptor TV aer condiționat,uși / ferestre blindate interfon supraveghere video,https://www.storia.ro/ro/oferta/apartament-2-camere-mobilat-bragadiru-cartierul-independenei-IDF3A8.html,beton,plastic,internet cablu tv telefon,bloc,46
30 m²,1,centrală pe gaz,1/4,fără informații,gata de utilizare,locuință nouă,drept de proprietate,fără informații,agenție,balcon,2026,da,,uși / ferestre blindate interfon,https://www.storia.ro/ro/oferta/ultima-garsonier-la-39-900-avans-5-000-micos-mamaia-nord-IDFFpk.html,beton,plastic,internet cablu tv telefon,bloc,30
80 m²,3,fără informații,1/1,fără informații,de renovat,locuință utilizată,drept de proprietate,2025-11-21,agenție,balcon garaj,2023,nu,,uși / ferestre blindate,https://www.storia.ro/ro/oferta/apartament-3-camere-80-mp-curte-si-garaj-micro-IDBakJ.html,cărămidă,plastic,,ansamblu de apartamente,80
103 m²,4,fără informații,3/3,fără informații,gata de utilizare,locuință utilizată,drept de proprietate,2025-11-24,agenție,balcon,2018,nu,,,https://www.storia.ro/ro/oferta/penthouse-4-camere-2-bai-103-mp-terasa-60-mp-priveliste-panoram-IDET4T.html,,,,,103
42.56 m²,1,centrală pe gaz,3/4,fără informații,în construcție,locuință nouă,drept de proprietate,2025-11-27,agenție,terasă,2025,da,aer condiționat,uși / ferestre blindate supraveghere video,https://www.storia.ro/ro/oferta/apartament-cu-1-5-camere-n-confecii-IDDT5o.html,beton,plastic,telefon internet cablu tv,ansamblu de apartamente,43
25.28 m²,1,centrală pe gaz,8/9,fără informații,gata de utilizare,locuință utilizată,drept de proprietate,2025-11-27,agenție,fără informații,1960,nu,aer condiționat,uși / ferestre blindate interfon,https://www.storia.ro/ro/oferta/garsoniera-de-vanzare-25-28-mp-zona-cimigiu-IDCB5e.html,,plastic,cablu tv,ansamblu de apartamente,25
